symbol,sector,score,rs_rating,sepa_stage,pct_from_high
CPA,VNCONS,99,99,Stage 2,0.030000000000000072
MCH,VNCONS,99,99,Stage 2,0.024346257889991008
SEA,VNCONS,99,99,Stage 2,0.05759162303664917
VIC,VNREAL,99,99,Stage 2,0.02015013828526272
VNM,VNCONS,96,84,Stage 2,0.022082018927444772
HAG,VNCONS,95,77,Stage 2,0.06493506493506493
NCS,VNCONS,95,76,Stage 2,0.03409090909090909
BCF,VNCONS,95,75,Stage 2,0.07111111111111118
ABT,VNCONS,93,69,Stage 2,0.05331599479843964
ACL,VNCONS,93,67,Stage 2,0.04240282685512365
HLD,VNREAL,92,61,Stage 2,0.08499999999999996
SMB,VNCONS,92,63,Stage 2,0.015911872705018325
V21,VNREAL,92,62,Stage 2,0.09210526315789465
SBT,VNCONS,91,59,Stage 2,0.09057971014492754
TIX,VNREAL,91,58,Stage 2,0.05356423681031004
TN1,VNREAL,91,58,Stage 2,0.07647058823529417
MPC,VNCONS,90,52,Stage 2,0.03867403314917142
NCG,VNCONS,89,99,Stage 2,0.11267605633802814
ANT,VNCONS,89,99,Stage 2,0.10450819672131137
CCA,VNCONS,87,89,Stage 2,0.1549295774647888
